Student_ID,Days_Attended,Days_Missed,Absence_Reason
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,95,0,Full Attendance
ac3c5640-3c20-492f-804a-96c4f3b63fe1,95,0,Full Attendance
79a28903-fbe3-4b24-beae-00320bd4a990,95,0,Full Attendance
31c681ec-935f-4b0a-a138-4ddce2d9de5d,95,0,Full Attendance
016b6287-b008-45cc-a7f3-6ae925c73c44,95,0,Full Attendance
2d06e8cf-3805-4907-acd6-6193c7468f59,95,0,Full Attendance
d92c9227-eadf-4085-bfcb-75468eb22579,95,0,Full Attendance
986f9025-8f15-4a58-bce6-850487f8424d,95,0,Full Attendance
81392443-e45b-412e-b822-5688d0a44432,95,0,Full Attendance
79844388-dc8a-4e30-be60-33f728be9288,95,0,Full Attendance
8573e793-c715-42b9-840c-5d9146fde062,95,0,Full Attendance
51d87c64-55fa-4ab8-858f-1f193c07c574,95,0,Full Attendance
b4d7e28e-271e-4ee2-b1a6-b1f1620e99d3,95,0,Full Attendance
34f3193c-0ff0-455c-aa70-2e2f7746d0ba,95,0,Full Attendance
db52ca58-0500-4bc6-b20d-cb6ef2311f17,95,0,Full Attendance
c0e3befd-4c71-40fe-9a0c-dd7cf1578470,95,0,Full Attendance
8bcf53a1-bc10-4a52-bf5d-2fdf89c8d2ab,95,0,Full Attendance
076e2bba-7c53-48bf-af92-f25e45df16b6,95,0,Full Attendance
77a6e17c-d72b-4108-aa40-5f12b963f37f,95,0,Full Attendance
907bfe36-9786-48f8-a4de-82e6e82c7d7b,95,0,Full Attendance
0cdf742b-2e85-4b21-b631-de9ddde9f863,95,0,Full Attendance
610e6a64-e130-4617-82df-f33556666f9f,95,0,Full Attendance
04f64d86-7866-4765-94f7-ce8dd5bcb8d0,95,0,Full Attendance
c7fee39f-1190-4938-a66f-d7f739669fa7,95,0,Full Attendance
05379ff6-d6d7-43b8-b309-4d353f4df561,95,0,Full Attendance
37cc863b-f2a0-4459-9060-4f621d48a071,95,0,Full Attendance
